Year,District,Maha_Yield
1979,POLONNARUWA,3547
1980,POLONNARUWA,3748
1981,POLONNARUWA,3737
1982,POLONNARUWA,4707
1983,POLONNARUWA,5274
1984,POLONNARUWA,3785
1985,POLONNARUWA,4874
1986,POLONNARUWA,4876
1987,POLONNARUWA,4912
1988,POLONNARUWA,4341
1989,POLONNARUWA,4266
1990,POLONNARUWA,4554
1991,POLONNARUWA,4438
1992,POLONNARUWA,4414
1993,POLONNARUWA,5048
1994,POLONNARUWA,3023
1995,POLONNARUWA,4861
1996,POLONNARUWA,4833
1997,POLONNARUWA,4916
1998,POLONNARUWA,4114
1999,POLONNARUWA,4236
2000,POLONNARUWA,4539
2001,POLONNARUWA,4948
2002,POLONNARUWA,4627
2003,POLONNARUWA,4462
2004,POLONNARUWA,5019
2005,POLONNARUWA,4992
2006,POLONNARUWA,4911
2007,POLONNARUWA,5119
2008,POLONNARUWA,4900
2009,POLONNARUWA,5223
2010,POLONNARUWA,5336
2011,POLONNARUWA,3831
2012,POLONNARUWA,5086
2013,POLONNARUWA,4889
2014,POLONNARUWA,4819
2015,POLONNARUWA,5306
1979,ANURADHAPURA,3528
1980,ANURADHAPURA,3744
1981,ANURADHAPURA,2590
1982,ANURADHAPURA,3071
1983,ANURADHAPURA,3997
1984,ANURADHAPURA,3144
1985,ANURADHAPURA,3972
1986,ANURADHAPURA,4567
1987,ANURADHAPURA,3867
1988,ANURADHAPURA,3544
1989,ANURADHAPURA,3694
1990,ANURADHAPURA,3824
1991,ANURADHAPURA,4096
1992,ANURADHAPURA,3594
1993,ANURADHAPURA,3710
1994,ANURADHAPURA,3837
1995,ANURADHAPURA,4018
1996,ANURADHAPURA,3700
1997,ANURADHAPURA,3989
1998,ANURADHAPURA,4264
1999,ANURADHAPURA,4294
2000,ANURADHAPURA,4400
2001,ANURADHAPURA,4474
2002,ANURADHAPURA,4323
2003,ANURADHAPURA,4341
2004,ANURADHAPURA,4523
2005,ANURADHAPURA,4549
2006,ANURADHAPURA,4520
2007,ANURADHAPURA,4726
2008,ANURADHAPURA,4311
2009,ANURADHAPURA,4633
2010,ANURADHAPURA,4924
2011,ANURADHAPURA,4463
2012,ANURADHAPURA,4982
2013,ANURADHAPURA,4467
2014,ANURADHAPURA,3898
2015,ANURADHAPURA,4802
1979,AMPARA,3124
1980,AMPARA,3597
1981,AMPARA,4253
1982,AMPARA,3893
1983,AMPARA,4339
1984,AMPARA,3143
1985,AMPARA,3827
1986,AMPARA,3287
1987,AMPARA,3606
1988,AMPARA,3682
1989,AMPARA,3470
1990,AMPARA,3522
1991,AMPARA,3630
1992,AMPARA,4098
1993,AMPARA,3400
1994,AMPARA,2875
1995,AMPARA,3647
1996,AMPARA,3857
1997,AMPARA,4187
1998,AMPARA,3771
1999,AMPARA,4099
2000,AMPARA,3866
2001,AMPARA,4099
2002,AMPARA,4607
2003,AMPARA,4216
2004,AMPARA,4655
2005,AMPARA,4292
2006,AMPARA,4576
2007,AMPARA,4934
2008,AMPARA,4864
2009,AMPARA,5158
2010,AMPARA,5368
2011,AMPARA,3333
2012,AMPARA,5026
2013,AMPARA,4084
2014,AMPARA,4885
2015,AMPARA,4078
1979,HAMBANTOTA,3484
1980,HAMBANTOTA,3538
1981,HAMBANTOTA,3947
1982,HAMBANTOTA,3726
1983,HAMBANTOTA,4280
1984,HAMBANTOTA,4116
1985,HAMBANTOTA,4328
1986,HAMBANTOTA,4194
1987,HAMBANTOTA,4302
1988,HAMBANTOTA,4853
1989,HAMBANTOTA,4321
1990,HAMBANTOTA,4179
1991,HAMBANTOTA,4455
1992,HAMBANTOTA,4637
1993,HAMBANTOTA,4703
1994,HAMBANTOTA,4048
1995,HAMBANTOTA,3953
1996,HAMBANTOTA,3893
1997,HAMBANTOTA,3995
1998,HAMBANTOTA,3761
1999,HAMBANTOTA,4106
2000,HAMBANTOTA,4354
2001,HAMBANTOTA,4680
2002,HAMBANTOTA,4820
2003,HAMBANTOTA,4587
2004,HAMBANTOTA,4627
2005,HAMBANTOTA,4467
2006,HAMBANTOTA,5069
2007,HAMBANTOTA,5215
2008,HAMBANTOTA,4762
2009,HAMBANTOTA,5295
2010,HAMBANTOTA,5183
2011,HAMBANTOTA,5779
2012,HAMBANTOTA,5198
2013,HAMBANTOTA,6575
2014,HAMBANTOTA,5592
2015,HAMBANTOTA,6134
